국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7753.11,-0.06,2.01,2.35,4.79,13.26,100,2026-08-10
미국,나스닥종합,26605.36,-0.32,2.67,1.23,1.37,14.47,92,2026-08-10
한국,KOSPI,6367.46,1.08,0.13,-14.83,-18.6,51.1,54,2026-08-11
일본,닛케이225,66970.22,2.08,5.04,-1.14,6.74,33.04,82,2026-08-10
중국,상해종합,3964.79,-0.05,3.73,1.3,-6.55,-0.1,53,2026-08-11
중국,CSI300,4709.1,0.15,2.35,0.29,-5.79,1.71,63,2026-08-11
홍콩,항셍,25773.56,-0.63,-0.31,6.44,-2.4,0.56,59,2026-08-11
홍콩,항셍테크,4857.12,-1.27,-0.58,3.86,-4.88,-11.94,25,2026-08-11
