국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7736.52,1.79,4.14,2.64,7.44,13.02,100,2026-08-04
미국,나스닥종합,26584.99,2.59,6.87,1.78,6.05,14.38,92,2026-08-04
한국,KOSPI,6629.53,5.95,10.06,-18.04,0.46,57.32,58,2026-08-05
일본,닛케이225,65694.64,3.04,5.34,-5.81,10.39,30.5,79,2026-08-05
중국,상해종합,3822.28,0.33,0.24,-5.42,-8.12,-3.69,36,2026-08-04
중국,CSI300,4600.93,1.27,0.69,-4.98,-5.66,-0.63,54,2026-08-04
홍콩,항셍,25852.92,-0.6,2.14,9.47,-0.93,0.87,60,2026-08-04
홍콩,항셍테크,4885.61,0.21,3.28,7.58,-1.83,-11.43,26,2026-08-04
