국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7711.76,-0.25,0.49,3.69,1.74,12.65,94,2026-08-28
미국,나스닥종합,26402.42,-0.52,0.85,5.1,-2.11,13.6,89,2026-08-28
한국,KOSPI,6788.88,-1.79,-1.79,19.88,-17.06,61.1,61,2026-08-28
일본,닛케이225,66405.56,0.41,0.59,8.09,0.11,31.92,80,2026-08-28
중국,상해종합,3952.18,-0.11,1.2,3.88,-2.6,-0.42,39,2026-08-28
중국,CSI300,4609.18,-0.46,-0.21,1.31,-4.85,-0.45,35,2026-08-28
홍콩,항셍,25584.79,0.07,-1.63,-1.06,1.6,-0.18,55,2026-08-28
홍콩,항셍테크,4605.15,-0.33,-3.38,-4.13,-5.71,-16.51,14,2026-08-28
