국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7600.5,1.48,2.53,1.57,5.12,11.03,99,2026-08-03
미국,나스닥종합,25913.9,2.13,3.94,0.31,3.18,11.5,81,2026-08-03
한국,KOSPI,6595.45,17.91,-1.42,-20.57,-0.69,56.51,58,2026-07-31
일본,닛케이225,64362.02,4.03,-0.39,-8.67,7.42,27.86,75,2026-07-31
중국,상해종합,3809.66,-0.59,-1.26,-5.79,-7.36,-4.01,34,2026-08-03
중국,CSI300,4543.18,-0.98,-3.39,-6.17,-5.49,-1.87,48,2026-08-03
홍콩,항셍,26009.4,0.48,3.18,11.39,0.9,1.48,63,2026-08-03
홍콩,항셍테크,4875.61,0.96,3.69,8.37,0.09,-11.61,26,2026-08-03
