국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7489.72,0.7,1.05,0.09,3.89,9.41,91,2026-07-31
미국,나스닥종합,25373.85,1.0,1.59,-2.56,1.93,9.17,73,2026-07-31
한국,KOSPI,6595.45,17.91,-1.42,-20.57,-0.69,56.51,58,2026-07-31
일본,닛케이225,64362.02,4.03,-0.39,-8.67,7.42,27.86,75,2026-07-31
중국,상해종합,3832.26,0.72,0.47,-4.88,-6.7,-3.44,40,2026-07-31
중국,CSI300,4588.2,0.85,-1.31,-4.66,-4.62,-0.9,53,2026-07-31
홍콩,항셍,25884.43,0.1,3.69,12.27,-0.87,0.99,61,2026-07-31
홍콩,항셍테크,4829.22,0.53,4.31,8.42,-1.65,-12.45,24,2026-07-31
