국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7437.63,1.66,0.4,-0.82,4.23,8.65,87,2026-07-30
미국,나스닥종합,25122.18,2.78,-0.06,-4.16,1.82,8.09,69,2026-07-30
한국,KOSPI,5663.24,-5.98,-16.69,-32.54,-12.55,34.39,42,2026-07-29
일본,닛케이225,61988.4,0.9,-6.68,-11.52,2.4,23.14,68,2026-07-31
중국,상해종합,3804.69,-0.62,-1.86,-7.48,-6.72,-4.14,36,2026-07-30
중국,CSI300,4549.72,-1.1,-3.77,-8.25,-4.38,-1.73,49,2026-07-30
홍콩,항셍,25858.88,0.2,2.57,13.01,0.7,0.89,60,2026-07-30
홍콩,항셍테크,4803.77,-1.25,2.24,7.41,-0.49,-12.91,23,2026-07-30
