국가,지수,지수레벨,1D,1주,1M,3M,YTD,52주위치%,기준일
미국,S&P500,7798.99,0.65,1.15,2.99,4.77,13.93,100,2026-08-13
미국,나스닥종합,26803.03,0.81,1.73,2.03,1.52,15.32,95,2026-08-13
한국,KOSPI,6579.04,3.68,-0.29,-3.35,-13.92,56.12,58,2026-08-12
일본,닛케이225,67524.06,0.83,5.58,-1.51,6.72,34.14,84,2026-08-12
중국,상해종합,3926.96,-0.5,0.68,-0.72,-5.04,-1.06,45,2026-08-13
중국,CSI300,4663.95,-0.57,0.27,-2.57,-4.03,0.73,55,2026-08-13
홍콩,항셍,25396.51,-0.17,-0.52,2.9,-3.76,-0.91,51,2026-08-13
홍콩,항셍테크,4792.39,0.33,-0.59,1.09,-5.92,-13.12,22,2026-08-13
